col,X,Y,row,elevation,system:index
4893,699168.8795788935,186735.45141279124,189,22.639402,91_0
4893,699168.8795788935,186735.45141279124,189,22.639402,92_0
4894,699171.879205552,186738.4510394497,188,22.463436,93_0
4894,699171.879205552,186738.4510394497,188,22.463436,94_0
4895,699174.8788322106,186741.4506661082,187,22.463436,95_0
4896,699177.878458869,186744.45029276668,186,22.50458,96_0
4898,699183.877712186,186756.44879940056,182,22.719711,97_0
4898,699183.877712186,186756.44879940056,182,22.719711,98_0
4870,699099.8881657487,186669.45962630483,211,22.489632,99_0
4892,699165.879952235,186729.4521594743,191,22.407555,100_0
4896,699177.878458869,186741.4506661082,187,22.463436,101_0
4896,699177.878458869,186741.4506661082,187,22.463436,102_0
4843,699018.8982459698,186750.44954608363,184,23.638458,103_0
4843,699018.8982459698,186750.44954608363,184,23.638458,104_0
4869,699096.8885390902,186669.45962630483,211,22.697231,105_0
4873,699108.8870457241,186669.45962630483,211,22.575499,106_0
4873,699108.8870457241,186669.45962630483,211,22.575499,107_0
4892,699165.879952235,186726.45253281583,192,22.407555,108_0
4843,699018.8982459698,186747.44991942515,185,23.638458,109_0
4868,699093.8889124317,186669.45962630483,211,22.697231,110_0
4868,699093.8889124317,186669.45962630483,211,22.697231,111_0
4867,699090.8892857733,186672.45925296328,210,22.697231,112_0
4867,699090.8892857733,186672.45925296328,210,22.697231,113_0
4866,699087.8896591148,186675.45887962176,209,22.815334,114_0
4843,699018.8982459698,186744.45029276668,186,23.638458,115_0
4874,699111.8866723826,186666.45999964635,212,22.575499,116_0
4874,699111.8866723826,186666.45999964635,212,22.575499,117_0
4893,699168.8795788935,186723.45290615736,193,22.668121,118_0
4893,699168.8795788935,186723.45290615736,193,22.668121,119_0
4843,699018.8982459698,186741.4506661082,187,23.112883,120_0
4875,699114.886299041,186666.45999964635,212,22.575499,121_0
4865,699084.8900324563,186672.45925296328,210,22.840647,122_0
4865,699084.8900324563,186672.45925296328,210,22.840647,123_0
4843,699018.8982459698,186738.4510394497,188,23.112883,124_0
4876,699117.8859256995,186666.45999964635,212,22.587603,125_0
4876,699117.8859256995,186666.45999964635,212,22.587603,126_0
4877,699120.885552358,186669.45962630483,211,22.587603,127_0
4877,699120.885552358,186669.45962630483,211,22.587603,128_0
4878,699123.8851790164,186672.45925296328,210,22.62869,129_0
4864,699081.8904057977,186672.45925296328,210,22.840647,130_0
4894,699171.879205552,186720.45327949888,194,22.726261,131_0
4894,699171.879205552,186720.45327949888,194,22.726261,132_0
4879,699126.8848056749,186672.45925296328,210,22.62869,133_0
4879,699126.8848056749,186672.45925296328,210,22.62869,134_0
4880,699129.8844323334,186675.45887962176,209,22.706684,135_0
4842,699015.8986193114,186735.45141279124,189,23.646544,136_0
4863,699078.8907791394,186669.45962630483,211,22.840647,137_0
4863,699078.8907791394,186669.45962630483,211,22.840647,138_0
4881,699132.8840589919,186675.45887962176,209,22.916767,139_0
4894,699171.879205552,186714.45402618192,196,22.726261,140_0
4895,699174.8788322106,186717.4536528404,195,22.726261,141_0
4895,699174.8788322106,186717.4536528404,195,22.726261,142_0
4895,699174.8788322106,186717.4536528404,195,22.726261,143_0
4841,699012.8989926529,186735.45141279124,189,23.646544,144_0
4841,699012.8989926529,186735.45141279124,189,23.646544,145_0
4882,699135.8836856503,186675.45887962176,209,22.916767,146_0
4862,699075.8911524808,186666.45999964635,212,22.840647,147_0
4883,699138.8833123088,186675.45887962176,209,22.916767,148_0
4895,699174.8788322106,186711.45439952347,197,23.051302,149_0
4895,699174.8788322106,186711.45439952347,197,23.051302,150_0
4840,699009.8993659944,186732.4517861328,190,23.646544,151_0
4840,699009.8993659944,186732.4517861328,190,23.646544,152_0
4862,699075.8911524808,186663.46037298787,213,22.840647,153_0
4862,699075.8911524808,186663.46037298787,213,22.840647,154_0
4884,699141.8829389673,186675.45887962176,209,22.930368,155_0
4895,699174.8788322106,186708.454772865,198,23.051302,156_0
4885,699144.8825656257,186675.45887962176,209,22.930368,157_0
4895,699174.8788322106,186705.4551462065,199,23.051302,158_0
4839,699006.899739336,186729.4521594743,191,24.357456,159_0
4861,699072.8915258223,186660.4607463294,214,22.78073,160_0
4861,699072.8915258223,186660.4607463294,214,22.78073,161_0
4886,699147.8821922842,186675.45887962176,209,22.75722,162_0
4838,699003.9001126775,186729.4521594743,191,24.357456,163_0
4887,699150.8818189427,186675.45887962176,209,22.75722,164_0
4887,699150.8818189427,186675.45887962176,209,22.75722,165_0
4888,699153.8814456012,186678.45850628024,208,22.75722,166_0
4888,699153.8814456012,186678.45850628024,208,22.75722,167_0
4889,699156.8810722596,186681.45813293871,207,22.822084,168_0
4896,699177.878458869,186702.45551954804,200,22.921583,169_0
4896,699177.878458869,186702.45551954804,200,22.921583,170_0
4837,699000.900486019,186729.4521594743,191,24.357456,171_0
4837,699000.900486019,186729.4521594743,191,24.357456,172_0
4860,699069.891899164,186657.4611196709,215,22.78073,173_0
4890,699159.8806989181,186681.45813293871,207,22.822084,174_0
4891,699162.8803255766,186684.4577595972,206,22.53645,175_0
4892,699165.879952235,186687.45738625567,205,22.814203,176_0
4892,699165.879952235,186687.45738625567,205,22.814203,177_0
4893,699168.8795788935,186690.45701291412,204,22.814203,178_0
4837,699000.900486019,186726.45253281583,192,24.357456,179_0
4860,699069.891899164,186654.46149301244,216,22.78073,180_0
4860,699069.891899164,186654.46149301244,216,22.78073,181_0
4891,699162.8803255766,186681.45813293871,207,22.822084,182_0
4891,699162.8803255766,186681.45813293871,207,22.822084,183_0
4894,699171.879205552,186690.45701291412,204,22.814203,184_0
4896,699177.878458869,186696.45626623108,202,22.921583,185_0
4897,699180.8780855275,186699.4558928896,201,23.08453,186_0
4897,699180.8780855275,186699.4558928896,201,23.08453,187_0
4837,699000.900486019,186723.45290615736,193,24.357456,188_0
4895,699174.8788322106,186690.45701291412,204,23.053806,189_0
4896,699177.878458869,186693.4566395726,203,23.053806,190_0
4898,699183.877712186,186699.4558928896,201,23.08453,191_0
4898,699183.877712186,186699.4558928896,201,23.08453,192_0
4898,699183.877712186,186699.4558928896,201,23.08453,193_0
4837,699000.900486019,186720.45327949888,194,24.040747,194_0
4859,699066.8922725054,186651.461866354,217,23.19103,195_0
4896,699177.878458869,186690.45701291412,204,23.053806,196_0
4896,699177.878458869,186690.45701291412,204,23.053806,197_0
4837,699000.900486019,186717.4536528404,195,24.040747,198_0
4859,699066.8922725054,186648.4622396955,218,23.19103,199_0
4860,699069.891899164,186648.4622396955,218,23.19103,200_0
4860,699069.891899164,186648.4622396955,218,23.19103,201_0
4860,699069.891899164,186648.4622396955,218,23.19103,202_0
4836,698997.9008593605,186714.45402618192,196,24.697817,203_0
4858,699063.8926458469,186645.46261303703,219,22.780737,204_0
4835,698994.9012327021,186714.45402618192,196,24.697817,205_0
4858,699063.8926458469,186642.46298637852,220,22.762451,206_0
4858,699063.8926458469,186642.46298637852,220,22.762451,207_0
4834,698991.9016060436,186714.45402618192,196,24.664656,208_0
4833,698988.9019793851,186714.45402618192,196,24.664656,209_0
4833,698988.9019793851,186714.45402618192,196,24.664656,210_0
4857,699060.8930191884,186639.46335972007,221,22.762451,211_0
4857,699060.8930191884,186639.46335972007,221,22.762451,212_0
4857,699060.8930191884,186639.46335972007,221,22.762451,213_0
4856,699057.89339253,186642.46298637852,220,22.562195,214_0
4855,699054.8937658715,186645.46261303703,219,22.347841,215_0
4854,699051.894139213,186648.4622396955,218,22.347841,216_0
4833,698988.9019793851,186711.45439952347,197,24.410158,217_0
4855,699054.8937658715,186642.46298637852,220,22.562195,218_0
4855,699054.8937658715,186642.46298637852,220,22.562195,219_0
4853,699048.8945125546,186648.4622396955,218,22.622694,220_0
4832,698985.9023527267,186708.454772865,198,24.410158,221_0
4832,698985.9023527267,186708.454772865,198,24.410158,222_0
4852,699045.8948858961,186645.46261303703,219,22.622694,223_0
4832,698985.9023527267,186705.4551462065,199,24.410158,224_0
4852,699045.8948858961,186642.46298637852,220,22.452206,225_0
4852,699045.8948858961,186642.46298637852,220,22.452206,226_0
4851,699042.8952592376,186642.46298637852,220,22.452206,227_0
4831,698982.9027260682,186702.45551954804,200,24.649162,228_0
4830,698979.9030994097,186702.45551954804,200,24.649162,229_0
4830,698979.9030994097,186702.45551954804,200,24.649162,230_0
4850,699039.8956325791,186639.46335972007,221,22.683947,231_0
4850,699039.8956325791,186639.46335972007,221,22.683947,232_0
4849,699036.8960059207,186639.46335972007,221,22.683947,233_0
4829,698976.9034727511,186699.4558928896,201,23.32803,234_0
4828,698973.9038460928,186699.4558928896,201,23.903688,235_0
4848,699033.8963792622,186636.4637330616,222,22.683947,236_0
4848,699033.8963792622,186636.4637330616,222,22.683947,237_0
4827,698970.9042194342,186699.4558928896,201,23.903688,238_0
4827,698970.9042194342,186699.4558928896,201,23.903688,239_0
4827,698970.9042194342,186696.45626623108,202,23.903688,240_0
4847,699030.8967526037,186633.46410640312,223,22.572268,241_0
4847,699030.8967526037,186633.46410640312,223,22.572268,242_0
4826,698967.9045927757,186693.4566395726,203,24.621082,243_0
4826,698967.9045927757,186693.4566395726,203,24.621082,244_0
4846,699027.8971259453,186630.46447974467,224,22.811464,245_0
4846,699027.8971259453,186627.4648530862,225,22.811464,246_0
4825,698964.9049661173,186690.45701291412,204,22.59011,247_0
4846,699027.8971259453,186624.4652264277,226,22.811464,248_0
4846,699027.8971259453,186624.4652264277,226,22.811464,249_0
4824,698961.9053394588,186690.45701291412,204,22.59011,250_0
4824,698961.9053394588,186690.45701291412,204,22.59011,251_0
4845,699024.8974992868,186624.4652264277,226,22.73657,252_0
4823,698958.9057128003,186687.45738625567,205,23.741917,253_0
4823,698958.9057128003,186687.45738625567,205,23.741917,254_0
4844,699021.8978726283,186621.46559976923,227,22.845936,255_0
4844,699021.8978726283,186618.46597311075,228,22.845936,256_0
4844,699021.8978726283,186618.46597311075,228,22.845936,257_0
4822,698955.9060861418,186684.4577595972,206,23.741917,258_0
4821,698952.9064594834,186684.4577595972,206,23.741917,259_0
4821,698952.9064594834,186684.4577595972,206,23.741917,260_0
4843,699018.8982459698,186615.46634645227,229,22.845936,261_0
4843,699018.8982459698,186615.46634645227,229,22.845936,262_0
4821,698952.9064594834,186681.45813293871,207,22.153423,263_0
4842,699015.8986193114,186615.46634645227,229,22.99498,264_0
4841,699012.8989926529,186615.46634645227,229,22.99498,265_0
4820,698949.9068328249,186678.45850628024,208,22.398478,266_0
4820,698949.9068328249,186678.45850628024,208,22.398478,267_0
4840,699009.8993659944,186615.46634645227,229,22.99498,268_0
4820,698949.9068328249,186675.45887962176,209,22.398478,269_0
4820,698949.9068328249,186672.45925296328,210,22.398478,270_0
4839,699006.899739336,186612.4667197938,230,22.4974,271_0
4839,699006.899739336,186612.4667197938,230,22.4974,272_0
4819,698946.9072061664,186669.45962630483,211,21.944271,273_0
4838,699003.9001126775,186609.46709313532,231,22.4974,274_0
4838,699003.9001126775,186609.46709313532,231,22.4974,275_0
4818,698943.907579508,186669.45962630483,211,21.944271,276_0
4818,698943.907579508,186669.45962630483,211,21.944271,277_0
4837,699000.900486019,186609.46709313532,231,22.60653,278_0
4818,698943.907579508,186666.45999964635,212,21.944271,279_0
4836,698997.9008593605,186609.46709313532,231,22.60653,280_0
4835,698994.9012327021,186609.46709313532,231,22.60653,281_0
4817,698940.9079528495,186663.46037298787,213,22.320772,282_0
4817,698940.9079528495,186663.46037298787,213,22.320772,283_0
4834,698991.9016060436,186609.46709313532,231,22.848475,284_0
4817,698940.9079528495,186660.4607463294,214,21.774149,285_0
4833,698988.9019793851,186609.46709313532,231,22.848475,286_0
